,PolarDesert,Tundra,Taiga,MixedForest,BroadleafForest,Rainforest,AridDesert,ShrubDesert,Steppe,GrassSavanna,TreeSavanna,Shrubland,Wetland,
PolarDesert,0.4,0.38,0.2,0.01,0,0,0,0,0.01,0,0,0,0,1
Tundra,0.32,0.3,0.3,0.04,0.01,0,0,0,0.01,0,0,0.01,0.01,1
Taiga,0.18,0.23,0.3,0.25,0.01,0,0,0,0.01,0,0,0.01,0.01,1
MixedForest,0.01,0.05,0.25,0.3,0.25,0.03,0,0,0.03,0,0,0.03,0.05,1
BroadleafForest,0,0.03,0.1,0.15,0.2,0.15,0,0,0.06,0.04,0.07,0.1,0.1,1
Rainforest,0,0,0,0.09,0.11,0.3,0,0,0.02,0.09,0.23,0.05,0.11,1
AridDesert,0,0,0,0,0,0,0.3,0.3,0.2,0.12,0.07,0.01,0,1
ShrubDesert,0,0,0,0,0,0,0.3,0.3,0.07,0.12,0.07,0.13,0.01,1
Steppe,0.01,0.01,0.03,0.06,0.1,0.01,0.08,0.1,0.3,0.11,0.05,0.09,0.05,1
GrassSavanna,0,0,0,0,0.05,0.05,0.15,0.1,0.05,0.3,0.2,0.07,0.03,1
TreeSavanna,0,0,0,0,0.05,0.2,0.03,0.07,0.02,0.18,0.3,0.05,0.1,1
Shrubland,0,0.005,0.005,0.06,0.08,0.05,0.04,0.06,0.1,0.05,0.05,0.4,0.1,1
Wetland,0,0.01,0.04,0.12,0.15,0.13,0,0.01,0.05,0.05,0.07,0.07,0.3,1